des: 46.75 | now: 46.76 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 46.75 | now: 46.76 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.71 | du: 0.324 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.86 | du: 0.324 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.86 | du: 0.324 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.96 | du: 0.324 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.96 | du: 0.324 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.96 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.91 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.91 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 47.04 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.96 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 47.02 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 47.07 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.96 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 47.07 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.91 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 47.04 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.00 | now: 46.91 | du: 0.323 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.02 | du: 0.322 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.12 | du: 0.321 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.12 | du: 0.321 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.321 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.321 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.17 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.17 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.27 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.19 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.27 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.27 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.30 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.27 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.320 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.27 | du: 0.319 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.32 | du: 0.318 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.37 | du: 0.318 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.42 | du: 0.318 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.40 | du: 0.317 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.42 | du: 0.317 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.317 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.317 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.317 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.50 | du: 0.317 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.50 | du: 0.317 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.317 | p_: 00.10 | i_: 00.10
