des: 48.50 | now: 48.44 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 48.50 | now: 48.49 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 48.50 | now: 48.49 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 48.50 | now: 48.49 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 48.50 | now: 48.49 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 48.50 | now: 48.49 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 48.50 | now: 48.44 | du: 0.325 | p_: 00.10 | i_: 00.10
des: 48.50 | now: 48.44 | du: 0.325 | p_: 00.10 | i_: 00.10
des: 48.50 | now: 48.44 | du: 0.325 | p_: 00.10 | i_: 00.10
des: 48.50 | now: 48.39 | du: 0.325 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.59 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.34 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.34 | du: 0.326 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.39 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.34 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.34 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.39 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.24 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.21 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.29 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.14 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.29 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.29 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.19 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.34 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.25 | now: 48.26 | du: 0.327 | p_: 00.10 | i_: 00.10
des: 48.00 | now: 48.26 | du: 0.328 | p_: 00.10 | i_: 00.10
