des: 43.50 | now: 43.50 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.53 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.50 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.50 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.50 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.50 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.50 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.50 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.50 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.53 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.43 | du: 0.406 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.55 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.43 | du: 0.406 | p_: 00.10 | i_: 00.10
des: 43.50 | now: 43.55 | du: 0.407 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.40 | du: 0.404 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.71 | du: 0.404 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.71 | du: 0.404 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.81 | du: 0.403 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.83 | du: 0.403 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.81 | du: 0.403 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.88 | du: 0.403 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.86 | du: 0.402 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.86 | du: 0.402 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.402 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.86 | du: 0.402 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.94 | du: 0.402 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.04 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.06 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.99 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.06 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.06 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.06 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.06 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.06 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.99 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.04 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.06 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.04 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.06 | du: 0.401 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 43.96 | du: 0.399 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.11 | du: 0.399 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.22 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.19 | du: 0.397 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.27 | du: 0.397 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.32 | du: 0.397 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.32 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.32 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.37 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.37 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.34 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.42 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.42 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.42 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.44 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.44 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.42 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.42 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.44 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.52 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.50 | du: 0.393 | p_: 00.10 | i_: 00.10
        Duty: 0.000 | Vin: 52.870 | Iin: 1.460 | Pow: 77.173 | MPP Pow: 0.000
        Duty: 0.025 | Vin: 52.310 | Iin: 1.590 | Pow: 83.162 | MPP Pow: 77.173
        Duty: 0.050 | Vin: 51.980 | Iin: 1.667 | Pow: 86.652 | MPP Pow: 83.162
        Duty: 0.075 | Vin: 51.674 | Iin: 1.748 | Pow: 90.344 | MPP Pow: 86.652
        Duty: 0.100 | Vin: 51.343 | Iin: 1.842 | Pow: 94.567 | MPP Pow: 90.344
        Duty: 0.125 | Vin: 50.987 | Iin: 1.939 | Pow: 98.886 | MPP Pow: 94.567
        Duty: 0.150 | Vin: 50.656 | Iin: 2.037 | Pow: 103.188 | MPP Pow: 98.886
        Duty: 0.175 | Vin: 50.325 | Iin: 2.147 | Pow: 108.038 | MPP Pow: 103.188
        Duty: 0.200 | Vin: 49.918 | Iin: 2.269 | Pow: 113.253 | MPP Pow: 108.038
        Duty: 0.225 | Vin: 49.510 | Iin: 2.407 | Pow: 119.173 | MPP Pow: 113.253
        Duty: 0.250 | Vin: 49.001 | Iin: 2.557 | Pow: 125.319 | MPP Pow: 119.173
        Duty: 0.275 | Vin: 48.492 | Iin: 2.704 | Pow: 131.115 | MPP Pow: 125.319
        Duty: 0.300 | Vin: 47.907 | Iin: 2.842 | Pow: 136.155 | MPP Pow: 131.115
        Duty: 0.325 | Vin: 47.219 | Iin: 2.952 | Pow: 139.386 | MPP Pow: 136.155
        Duty: 0.350 | Vin: 46.430 | Iin: 3.224 | Pow: 149.705 | MPP Pow: 139.386
        Duty: 0.375 | Vin: 45.387 | Iin: 3.432 | Pow: 155.751 | MPP Pow: 149.705
        Duty: 0.400 | Vin: 44.012 | Iin: 3.615 | Pow: 159.087 | MPP Pow: 155.751
        Duty: 0.425 | Vin: 41.619 | Iin: 3.688 | Pow: 153.484 | MPP Pow: 159.087
        Duty: 0.450 | Vin: 38.845 | Iin: 3.761 | Pow: 146.094 | MPP Pow: 159.087
        Duty: 0.475 | Vin: 36.019 | Iin: 3.850 | Pow: 138.689 | MPP Pow: 159.087
        Duty: 0.500 | Vin: 32.735 | Iin: 3.899 | Pow: 127.643 | MPP Pow: 159.087
des: 44.50 | now: 44.47 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.67 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.67 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.62 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.62 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.62 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.55 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.50 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.60 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.55 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.57 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.52 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.42 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.37 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.37 | du: 0.397 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.27 | du: 0.397 | p_: 00.10 | i_: 00.10
