des: 44.50 | now: 44.60 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.52 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.55 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.57 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.52 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.55 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.57 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.52 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.52 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.52 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.52 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.42 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.42 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.34 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.32 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.37 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.32 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.32 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.24 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.22 | du: 0.395 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.32 | du: 0.397 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.16 | du: 0.397 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.16 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.11 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.06 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.09 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.01 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.09 | du: 0.399 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.99 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.99 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 43.96 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.01 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.01 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.01 | du: 0.398 | p_: 00.10 | i_: 00.10
des: 44.00 | now: 44.04 | du: 0.399 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.01 | du: 0.397 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.06 | du: 0.397 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.16 | du: 0.397 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.19 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.19 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.19 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.19 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.24 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.22 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.22 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.24 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.27 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.25 | now: 44.22 | du: 0.396 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.22 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.39 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.39 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.42 | du: 0.394 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.37 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.44 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.52 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.52 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.60 | du: 0.393 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.47 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.60 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.60 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.65 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.65 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.65 | du: 0.389 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.70 | du: 0.389 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.67 | du: 0.389 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.389 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.67 | du: 0.389 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.67 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.75 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.78 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.78 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.67 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.78 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.62 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.62 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.65 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.57 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.57 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.57 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.55 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.52 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.57 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.50 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.50 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.47 | du: 0.391 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.57 | du: 0.392 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.52 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.55 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.62 | du: 0.389 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.67 | du: 0.389 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.65 | du: 0.389 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.65 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.67 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.67 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.78 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.75 | du: 0.386 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.83 | du: 0.386 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.83 | du: 0.385 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.90 | du: 0.385 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.88 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.93 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.93 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.93 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.93 | du: 0.383 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 45.00 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 45.00 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 45.03 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 44.93 | du: 0.383 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 45.00 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 45.00 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 45.00 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 45.00 | now: 45.03 | du: 0.384 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.93 | du: 0.385 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.95 | du: 0.385 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.88 | du: 0.386 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.83 | du: 0.386 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.80 | du: 0.386 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.83 | du: 0.386 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.83 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.75 | du: 0.386 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.83 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.78 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.78 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.72 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.78 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.75 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.78 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.75 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.75 | now: 44.75 | du: 0.387 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.78 | du: 0.388 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.72 | du: 0.389 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.67 | du: 0.390 | p_: 00.10 | i_: 00.10
des: 44.50 | now: 44.62 | du: 0.390 | p_: 00.10 | i_: 00.10
