des: 54.00 | now: 54.04 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.02 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 53.99 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.17 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.12 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.14 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.17 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.22 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.27 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.25 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.30 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.32 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.35 | du: 0.190 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.37 | du: 0.190 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.40 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.37 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.42 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.42 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.40 | du: 0.188 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.42 | du: 0.188 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.42 | du: 0.188 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.42 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.45 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.45 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.45 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.45 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.45 | du: 0.188 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.40 | du: 0.188 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.45 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.45 | du: 0.190 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.40 | du: 0.190 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.40 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.35 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.35 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.37 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.32 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.25 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.19 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.14 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.19 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.12 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.97 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.97 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.97 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.94 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 53.99 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.17 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.17 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.22 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.27 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.22 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.27 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.25 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.32 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.37 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.35 | du: 0.190 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.37 | du: 0.190 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.35 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.40 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.40 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.45 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.42 | du: 0.188 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.40 | du: 0.188 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.45 | du: 0.188 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.45 | du: 0.188 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.45 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.45 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.47 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.50 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.50 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.42 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.40 | du: 0.190 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.40 | du: 0.190 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.37 | du: 0.190 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.37 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.37 | du: 0.191 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.37 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.35 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.30 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.30 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.25 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.17 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.09 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.09 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.09 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.94 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.89 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.07 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.97 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.07 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.97 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.86 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.89 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.76 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.86 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.79 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.74 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.76 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.71 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.76 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.74 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.76 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.69 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.84 | du: 0.199 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.74 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.69 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 53.75 | now: 53.79 | du: 0.198 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.69 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.94 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.97 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.197 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.94 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.94 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.97 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.97 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.02 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.89 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.99 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 53.97 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 53.94 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.14 | du: 0.195 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.14 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.25 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.12 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.194 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.27 | du: 0.193 | p_: 00.10 | i_: 00.10
des: 54.25 | now: 54.19 | du: 0.193 | p_: 00.10 | i_: 00.10
        Duty: 0.000 | Vin: 56.867 | Iin: 1.569 | Pow: 89.250 | MPP Pow: 0.000
        Duty: 0.010 | Vin: 56.689 | Iin: 1.643 | Pow: 93.119 | MPP Pow: 89.250
        Duty: 0.020 | Vin: 56.612 | Iin: 1.687 | Pow: 95.526 | MPP Pow: 93.119
        Duty: 0.030 | Vin: 56.485 | Iin: 1.732 | Pow: 97.837 | MPP Pow: 95.526
        Duty: 0.040 | Vin: 56.409 | Iin: 1.769 | Pow: 99.769 | MPP Pow: 97.837
        Duty: 0.050 | Vin: 56.307 | Iin: 1.801 | Pow: 101.421 | MPP Pow: 99.769
        Duty: 0.060 | Vin: 56.256 | Iin: 1.838 | Pow: 103.387 | MPP Pow: 101.421
        Duty: 0.070 | Vin: 56.129 | Iin: 1.874 | Pow: 105.207 | MPP Pow: 103.387
