des: 52.00 | now: 52.06 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.98 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.98 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.98 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.98 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 52.01 | du: 0.249 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.93 | du: 0.249 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.85 | du: 0.249 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.85 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.80 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.83 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.85 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.80 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.70 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.70 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.80 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.80 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.78 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.70 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 51.75 | du: 0.250 | p_: 00.10 | i_: 00.10
