des: 52.50 | now: 52.67 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.51 | du: 0.236 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.34 | du: 0.237 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.21 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.11 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.98 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.93 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.03 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.01 | du: 0.236 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.34 | du: 0.236 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.34 | du: 0.235 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.36 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.41 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.49 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.49 | du: 0.236 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.26 | du: 0.237 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.16 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.237 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.16 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.03 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.238 | p_: 00.10 | i_: 00.10
