des: 50.50 | now: 50.58 | du: 0.281 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.58 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.55 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.48 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.53 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.48 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.55 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.48 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.48 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.55 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 50.50 | now: 50.48 | du: 0.282 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.48 | du: 0.279 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.73 | du: 0.279 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.78 | du: 0.278 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.78 | du: 0.277 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.91 | du: 0.277 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.88 | du: 0.277 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.277 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.277 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.277 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.277 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.277 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.277 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.94 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 51.09 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.96 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.96 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 51.09 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.96 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.96 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 51.09 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.00 | now: 50.99 | du: 0.276 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 50.96 | du: 0.273 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.29 | du: 0.273 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.24 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.37 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.47 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.44 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.47 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.44 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.44 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.44 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.60 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.47 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.47 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.47 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.60 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.55 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.55 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.50 | du: 0.269 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.70 | du: 0.268 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.72 | du: 0.268 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.78 | du: 0.267 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.85 | du: 0.266 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.85 | du: 0.266 | p_: 00.10 | i_: 00.10
