des: 52.00 | now: 52.06 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 52.01 | du: 0.254 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.83 | du: 0.254 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.72 | du: 0.255 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.60 | du: 0.255 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.60 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.60 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.55 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.55 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.257 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.257 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.257 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.257 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.257 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.257 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.44 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.257 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.52 | du: 0.257 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.39 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.55 | du: 0.257 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.50 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.44 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 51.50 | now: 51.39 | du: 0.256 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.50 | du: 0.253 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.75 | du: 0.253 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.80 | du: 0.252 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.80 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.90 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.90 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.90 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.98 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.98 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.250 | p_: 00.10 | i_: 00.10
