        Duty: 0.020 | Vin: 56.383 | Iin: 1.687 | Pow: 95.139 | MPP Pow: 92.597
        Duty: 0.030 | Vin: 56.307 | Iin: 1.724 | Pow: 97.071 | MPP Pow: 95.139
        Duty: 0.040 | Vin: 56.205 | Iin: 1.761 | Pow: 98.952 | MPP Pow: 97.071
        Duty: 0.050 | Vin: 56.129 | Iin: 1.797 | Pow: 100.871 | MPP Pow: 98.952
        Duty: 0.060 | Vin: 56.027 | Iin: 1.830 | Pow: 102.511 | MPP Pow: 100.871
        Duty: 0.070 | Vin: 55.951 | Iin: 1.866 | Pow: 104.419 | MPP Pow: 102.511
        Duty: 0.080 | Vin: 55.849 | Iin: 1.899 | Pow: 106.045 | MPP Pow: 104.419
        Duty: 0.090 | Vin: 55.747 | Iin: 1.939 | Pow: 108.118 | MPP Pow: 106.045
        Duty: 0.100 | Vin: 55.645 | Iin: 1.988 | Pow: 110.636 | MPP Pow: 108.118
        Duty: 0.110 | Vin: 55.518 | Iin: 2.029 | Pow: 112.640 | MPP Pow: 110.636
        Duty: 0.120 | Vin: 55.416 | Iin: 2.070 | Pow: 114.687 | MPP Pow: 112.640
        Duty: 0.130 | Vin: 55.263 | Iin: 2.122 | Pow: 117.292 | MPP Pow: 114.687
        Duty: 0.140 | Vin: 55.136 | Iin: 2.167 | Pow: 119.488 | MPP Pow: 117.292
        Duty: 0.150 | Vin: 54.958 | Iin: 2.212 | Pow: 121.559 | MPP Pow: 119.488
        Duty: 0.160 | Vin: 54.831 | Iin: 2.244 | Pow: 123.061 | MPP Pow: 121.559
        Duty: 0.170 | Vin: 54.652 | Iin: 2.297 | Pow: 125.550 | MPP Pow: 123.061
        Duty: 0.180 | Vin: 54.449 | Iin: 2.334 | Pow: 127.075 | MPP Pow: 125.550
        Duty: 0.190 | Vin: 54.271 | Iin: 2.379 | Pow: 129.086 | MPP Pow: 127.075
        Duty: 0.200 | Vin: 54.041 | Iin: 2.452 | Pow: 132.496 | MPP Pow: 129.086
        Duty: 0.210 | Vin: 53.787 | Iin: 2.513 | Pow: 135.153 | MPP Pow: 132.496
        Duty: 0.220 | Vin: 53.558 | Iin: 2.566 | Pow: 137.408 | MPP Pow: 135.153
        Duty: 0.230 | Vin: 53.227 | Iin: 2.623 | Pow: 139.589 | MPP Pow: 137.408
        Duty: 0.240 | Vin: 52.947 | Iin: 2.679 | Pow: 141.868 | MPP Pow: 139.589
        Duty: 0.250 | Vin: 52.540 | Iin: 2.724 | Pow: 143.127 | MPP Pow: 141.868
        Duty: 0.260 | Vin: 52.158 | Iin: 2.757 | Pow: 143.783 | MPP Pow: 143.127
        Duty: 0.270 | Vin: 51.572 | Iin: 2.801 | Pow: 144.476 | MPP Pow: 143.783
        Duty: 0.280 | Vin: 50.554 | Iin: 2.830 | Pow: 143.062 | MPP Pow: 144.476
        Duty: 0.290 | Vin: 49.739 | Iin: 2.858 | Pow: 142.173 | MPP Pow: 144.476
        Duty: 0.300 | Vin: 48.569 | Iin: 2.899 | Pow: 140.801 | MPP Pow: 144.476
        Duty: 0.310 | Vin: 47.398 | Iin: 2.907 | Pow: 137.792 | MPP Pow: 144.476
        Duty: 0.320 | Vin: 46.481 | Iin: 2.944 | Pow: 136.828 | MPP Pow: 144.476
        Duty: 0.330 | Vin: 45.488 | Iin: 2.968 | Pow: 135.016 | MPP Pow: 144.476
        Duty: 0.340 | Vin: 44.394 | Iin: 2.988 | Pow: 132.669 | MPP Pow: 144.476
        Duty: 0.350 | Vin: 43.299 | Iin: 2.980 | Pow: 129.046 | MPP Pow: 144.476
        Duty: 0.360 | Vin: 42.128 | Iin: 3.009 | Pow: 126.756 | MPP Pow: 144.476
        Duty: 0.370 | Vin: 40.932 | Iin: 2.997 | Pow: 122.657 | MPP Pow: 144.476
        Duty: 0.380 | Vin: 39.634 | Iin: 3.017 | Pow: 119.572 | MPP Pow: 144.476
        Duty: 0.390 | Vin: 38.463 | Iin: 3.005 | Pow: 115.570 | MPP Pow: 144.476
        Duty: 0.400 | Vin: 37.216 | Iin: 3.045 | Pow: 113.336 | MPP Pow: 144.476
        Duty: 0.410 | Vin: 36.095 | Iin: 3.045 | Pow: 109.925 | MPP Pow: 144.476
        Duty: 0.420 | Vin: 34.975 | Iin: 3.062 | Pow: 107.083 | MPP Pow: 144.476
        Duty: 0.430 | Vin: 33.805 | Iin: 3.054 | Pow: 103.223 | MPP Pow: 144.476
        Duty: 0.440 | Vin: 32.659 | Iin: 3.074 | Pow: 100.389 | MPP Pow: 144.476
        Duty: 0.450 | Vin: 31.615 | Iin: 3.054 | Pow: 96.538 | MPP Pow: 144.476
        Duty: 0.460 | Vin: 30.495 | Iin: 3.082 | Pow: 93.986 | MPP Pow: 144.476
