y: 0.020 | Vin: 56.383 | Iin: 1.687 | Pow: 95.139 | MPP Pow: 92.555
        Duty: 0.030 | Vin: 56.281 | Iin: 1.724 | Pow: 97.027 | MPP Pow: 95.139
        Duty: 0.040 | Vin: 56.205 | Iin: 1.756 | Pow: 98.723 | MPP Pow: 97.027
        Duty: 0.050 | Vin: 56.103 | Iin: 1.793 | Pow: 100.598 | MPP Pow: 98.723
        Duty: 0.060 | Vin: 56.001 | Iin: 1.830 | Pow: 102.464 | MPP Pow: 100.598
        Duty: 0.070 | Vin: 55.925 | Iin: 1.866 | Pow: 104.371 | MPP Pow: 102.464
        Duty: 0.080 | Vin: 55.798 | Iin: 1.895 | Pow: 105.722 | MPP Pow: 104.371
        Duty: 0.090 | Vin: 55.696 | Iin: 1.939 | Pow: 108.020 | MPP Pow: 105.722
        Duty: 0.100 | Vin: 55.543 | Iin: 1.972 | Pow: 109.530 | MPP Pow: 108.020
        Duty: 0.110 | Vin: 55.467 | Iin: 2.029 | Pow: 112.537 | MPP Pow: 109.530
        Duty: 0.120 | Vin: 55.340 | Iin: 2.061 | Pow: 114.079 | MPP Pow: 112.537
        Duty: 0.130 | Vin: 55.187 | Iin: 2.114 | Pow: 116.681 | MPP Pow: 114.079
        Duty: 0.140 | Vin: 55.034 | Iin: 2.159 | Pow: 118.819 | MPP Pow: 116.681
        Duty: 0.150 | Vin: 54.856 | Iin: 2.208 | Pow: 121.111 | MPP Pow: 118.819
        Duty: 0.160 | Vin: 54.703 | Iin: 2.240 | Pow: 122.553 | MPP Pow: 121.111
        Duty: 0.170 | Vin: 54.551 | Iin: 2.297 | Pow: 125.316 | MPP Pow: 122.553
        Duty: 0.180 | Vin: 54.321 | Iin: 2.330 | Pow: 126.557 | MPP Pow: 125.316
        Duty: 0.190 | Vin: 54.092 | Iin: 2.383 | Pow: 128.882 | MPP Pow: 126.557
        Duty: 0.200 | Vin: 53.863 | Iin: 2.431 | Pow: 130.965 | MPP Pow: 128.882
        Duty: 0.210 | Vin: 53.634 | Iin: 2.505 | Pow: 134.333 | MPP Pow: 130.965
        Duty: 0.220 | Vin: 53.329 | Iin: 2.549 | Pow: 135.953 | MPP Pow: 134.333
        Duty: 0.230 | Vin: 52.998 | Iin: 2.606 | Pow: 138.126 | MPP Pow: 135.953
        Duty: 0.240 | Vin: 52.641 | Iin: 2.663 | Pow: 140.194 | MPP Pow: 138.126
        Duty: 0.250 | Vin: 52.209 | Iin: 2.712 | Pow: 141.589 | MPP Pow: 140.194
        Duty: 0.260 | Vin: 51.598 | Iin: 2.728 | Pow: 140.771 | MPP Pow: 141.589
        Duty: 0.270 | Vin: 50.681 | Iin: 2.765 | Pow: 140.126 | MPP Pow: 141.589
        Duty: 0.280 | Vin: 49.714 | Iin: 2.777 | Pow: 138.058 | MPP Pow: 141.589
        Duty: 0.290 | Vin: 48.645 | Iin: 2.789 | Pow: 135.682 | MPP Pow: 141.589
