DC: 0.44 | 0.00 | 0.00    Vin: 43.76V |  0.00V |  0.00V   Vref: 43.70V |  3.45V |  3.40V    Vout: 78.81V    Iin:  3.97A |  0.02A |  0.01A    Pin: 173.82W    BE: 1
DC: 0.44 | 0.00 | 0.00    Vin: 43.66V |  0.00V |  0.00V   Vref: 43.70V |  3.45V |  3.40V    Vout: 78.81V    Iin:  3.98A |  0.02A |  0.01A    Pin: 173.95W    BE: 1
DC: 0.44 | 0.00 | 0.00    Vin: 43.78V |  0.00V |  0.00V   Vref: 43.70V |  3.45V |  3.40V    Vout: 78.81V    Iin:  3.98A |  0.02A |  0.02A    Pin: 174.28W    BE: 1
DC: 0.44 | 0.00 | 0.00    Vin: 43.60V |  0.00V |  0.00V   Vref: 43.70V |  3.45V |  3.40V    Vout: 78.89V    Iin:  4.03A |  0.02A |  0.01A    Pin: 175.70W    BE: 1
DC: 0.44 | 0.00 | 0.00    Vin: 43.76V |  0.00V |  0.00V   Vref: 43.70V |  3.45V |  3.40V    Vout: 78.97V    Iin:  3.97A |  0.02A |  0.02A    Pin: 173.82W    BE: 1
DC: 0.44 | 0.00 | 0.00    Vin: 43.66V |  0.00V |  0.00V   Vref: 43.70V |  3.45V |  3.40V    Vout: 78.81V    Iin:  4.03A |  0.02A |  0.02A    Pin: 175.73W    BE: 1
DC: 0.43 | 0.00 | 0.00    Vin: 43.71V |  0.00V |  0.00V   Vref: 43.95V |  3.70V |  3.65V    Vout: 78.89V    Iin:  3.97A |  0.02A |  0.01A    Pin: 173.62W    BE: 1
DC: 0.44 | 0.00 | 0.00    Vin: 44.06V |  0.00V |  0.00V   Vref: 43.95V |  3.70V |  3.65V    Vout: 78.73V    Iin:  3.93A |  0.02A |  0.01A    Pin: 173.24W    BE: 1
   DC: 0.10   V: 50.43V |  0.00V |  0.00V   P: 87.96W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.12   V: 50.22V |  0.00V |  0.00V   P: 91.89W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.14   V: 50.12V |  0.00V |  0.03V   P: 96.60W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.16   V: 49.94V |  0.00V |  0.03V   P: 100.31W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.18   V: 49.76V |  0.03V |  0.05V   P: 104.21W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.20   V: 49.59V |  0.05V |  0.10V   P: 109.28W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.22   V: 49.41V |  0.10V |  0.13V   P: 114.71W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
