Unbounded DC: 0.412 | DC: 0.412 | Now: 44.62 | Ref: 45.00 | Error: -0.01 | Integral: 03.30 | dt: 24.28 |  p_: 00.13 | i_: 00.13
Unbounded DC: -18.829 | DC: 0.000 | Now: 00.00 | Ref: 45.00 | Error: -0.75 | Integral: -149.88 | dt: 24.28 |  p_: 00.13 | i_: 00.13
Unbounded DC: -18.829 | DC: 0.000 | Now: 00.00 | Ref: 45.00 | Error: -0.75 | Integral: -149.88 | dt: 24.28 |  p_: 00.13 | i_: 00.13
MAX CURRENT EXCEEDED
DC: 0.41 / 0.00 / 0.00   Vin: 44.62V / 0.00V / 0.00V   Vref: 45.00V / 45.00V / 45.00V   Vout: 79.88V   Iin: 4.02A / 0.02A / 0.02A   Iout: 2.25A   Pin:179.44W   BE:1
Unbounded DC: 0.430 | DC: 0.430 | Now: 45.34 | Ref: 45.00 | Error: 00.01 | Integral: 03.44 | dt: 24.28 |  p_: 00.13 | i_: 00.13
Unbounded DC: -21.105 | DC: 0.000 | Now: 00.00 | Ref: 45.00 | Error: -0.75 | Integral: -168.09 | dt: 24.28 |  p_: 00.13 | i_: 00.13
Unbounded DC: -21.105 | DC: 0.000 | Now: 00.00 | Ref: 45.00 | Error: -0.75 | Integral: -168.09 | dt: 24.28 |  p_: 00.13 | i_: 00.13
MAX CURRENT EXCEEDED
DC: 0.43 / 0.00 / 0.00   Vin: 45.34V / 0.00V / 0.00V   Vref: 45.00V / 45.00V / 45.00V   Vout: 78.32V   Iin: 3.81A / 0.02A / 0.01A   Iout: 2.21A   Pin:172.90W   BE:1
Unbounded DC: 0.412 | DC: 0.412 | Now: 44.67 | Ref: 45.00 | Error: -0.01 | Integral: 03.30 | dt: 24.28 |  p_: 00.13 | i_: 00.13
Unbounded DC: -23.381 | DC: 0.000 | Now: 00.00 | Ref: 45.00 | Error: -0.75 | Integral: -186.30 | dt: 24.28 |  p_: 00.13 | i_: 00.13
Unbounded DC: -23.381 | DC: 0.000 | Now: 00.00 | Ref: 45.00 | Error: -0.75 | Integral: -186.30 | dt: 24.28 |  p_: 00.13 | i_: 00.13
MAX CURRENT EXCEEDED
