des: 52.00 | now: 52.01 | du: 0.273 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.273 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.273 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.273 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.01 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.08 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.18 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.13 | du: 0.270 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.18 | du: 0.270 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.21 | du: 0.270 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.21 | du: 0.270 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.21 | du: 0.270 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.23 | du: 0.270 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.21 | du: 0.270 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.21 | du: 0.269 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.21 | du: 0.269 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.26 | du: 0.269 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.21 | du: 0.269 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.26 | du: 0.269 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.29 | du: 0.269 | p_: 00.10 | i_: 00.10
des: 52.25 | now: 52.21 | du: 0.269 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.31 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.16 | du: 0.271 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.16 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.272 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.06 | du: 0.272 | p_: 00.10 | i_: 00.10
